Tarih,Sayaç Etso Kodu,Üretim Miktari (MWh),Tüketim Miktari (MWh),Çekis Endüktif (MWh),Çekis Kapasitif (MWh),Veris Endüktif (MWh),Veris Kapasitif (MWh)
2023-08-01 00:15:00,40Z000000186720U,0,"0,005",0,0,0,"0,028"
2023-08-01 00:15:00,40Z000001668245U,"1,419",0,0,"0,077",0,0
2023-08-01 00:15:00,40Z000070752663N,"0,191","0,004",0,"0,001","0,01","0,026"
2023-08-01 00:15:00,40Z000000006678L,0,"9,028",0,0,0,"0,599"
2023-08-01 00:15:00,40Z000000006679J,0,"2,523",0,0,0,"1,083"
2023-08-01 00:15:00,40Z000000006682U,0,0,0,0,0,0
2023-08-01 00:15:00,40Z000000006683S,0,"0,008",0,0,0,"0,013"
2023-08-01 00:15:00,40Z000000006684Q,"1,192",0,0,0,"0,284",0
2023-08-01 00:15:00,40Z000000006686M,0,"3,282","0,211",0,0,0
2023-08-01 00:15:00,40Z000000006687K,0,"3,334","0,462",0,0,0
2023-08-01 00:15:00,40Z000000006688I,0,"1,94",0,0,0,"0,11"
2023-08-01 00:15:00,40Z000000006689G,0,"4,292","0,434",0,0,0
2023-08-01 00:15:00,40Z000000006986A,0,"0,85","0,053",0,0,0
2023-08-01 00:15:00,40Z000000007315F,0,"13,959","0,432",0,0,0
2023-08-01 00:15:00,40Z000000008044F,0,"2,381","0,305",0,0,0
2023-08-01 00:15:00,40Z000000008046B,0,"0,513","0,025",0,0,0
2023-08-01 00:15:00,40Z0000000080479,0,0,0,0,0,0
2023-08-01 00:15:00,40Z000000009920P,0,"6,49","0,161",0,0,0
2023-08-01 00:15:00,40Z000000077651V,0,"1,263",0,0,0,"0,536"
2023-08-01 00:15:00,40Z000000081261V,0,"1,265",0,0,0,"0,539"
2023-08-01 00:15:00,40Z000000099310Z,"0,9",0,0,0,"0,1",0
2023-08-01 00:15:00,40Z000000099623J,"0,022",0,0,0,"0,006",0
2023-08-01 00:15:00,40Z0000007484327,0,"1,93",0,0,0,"0,11"
2023-08-01 00:15:00,40Z000000954315B,0,"0,517","0,001",0,0,"0,001"
2023-08-01 00:15:00,40Z000001027858V,0,"1,364","0,186",0,0,0
2023-08-01 00:15:00,40Z000001027876T,0,"1,408","0,198",0,0,0
2023-08-01 00:15:00,40Z000001027885S,0,"0,765",0,0,0,"0,459"
2023-08-01 00:15:00,40Z000001233161X,0,"0,44","0,04",0,0,0
2023-08-01 00:15:00,40Z0000013748268,0,"4,441","0,534",0,0,0
2023-08-01 00:15:00,40Z000007706314S,0,"10,89",0,0,0,"0,39"
2023-08-01 00:15:00,40Z000007706315Q,0,"6,13","0,32",0,0,0
2023-08-01 00:15:00,40Z0000078956113,0,0,0,0,0,"0,001"
2023-08-01 00:15:00,40Z000007895723T,"0,853",0,0,0,"0,441",0
2023-08-01 00:15:00,40Z0000081007898,0,"15,68","0,41",0,0,0
2023-08-01 00:15:00,40Z000008100791L,0,"0,06",0,0,0,"0,33"
2023-08-01 00:15:00,40Z0000379854267,0,"1,813","0,015",0,0,"0,028"
2023-08-01 00:15:00,40Z0000379854275,0,"6,504","0,176",0,0,0
2023-08-01 00:15:00,40Z000055640589A,0,0,0,0,0,0
2023-08-01 00:15:00,40Z000099531620J,0,"1,438","0,12",0,0,0
2023-08-01 00:15:00,40Z000099531621H,0,"1,854",0,0,0,"0,077"
2023-08-01 00:15:00,40Z000099531640D,0,0,0,0,0,0
2023-08-01 00:15:00,40Z0001561011717,0,0,0,0,"0,048","0,034"
2023-08-01 00:15:00,40Z000156101300M,0,0,0,0,"0,055","0,027"
2023-08-01 00:15:00,40Z100001140176N,0,"0,814",0,0,0,"0,471"
2023-08-01 00:30:00,40Z000000186720U,0,"0,005",0,0,0,"0,028"
